Rank,Company,Growth,Revenue,Industry,State,Metro,Employees,URL,YrsOnList
1,Fuhu,158956.9106%,$195640000,Consumer Products & Services,California,Los Angeles,227,http://www.inc.com/profile/fuhu,2
2,Quest Nutrition,57347.9246%,$82640563,Food & Beverage,California,Los Angeles,191,http://www.inc.com/profile/quest-nutrition,1
3,Reliant Asset Management,55460.1646%,$85076502,Business Products & Services,Virginia,"Washington, DC",145,http://www.inc.com/profile/reliant-asset-management,1
4,Superfish,26042.963%,$35293000,Software,California,San Jose,62,http://www.inc.com/profile/superfish,1
5,Acacia Communications,20690.4578%,$77652360,Telecommunications,Massachusetts,Boston,92,http://www.inc.com/profile/acacia-communications,1
6,Provider Power,19876.5169%,$137977203,Energy,Maine,"Lewiston-Auburn, ME",50,http://www.inc.com/profile/provider-power,2
7,Crescendo Bioscience,18375.0693%,$27308000,Health,California,San Francisco,129,http://www.inc.com/profile/crescendo-bioscience,2
8,Plexus Worldwide,16457.6529%,$159897088,Health,Arizona,Phoenix,130,http://www.inc.com/profile/plexus-worldwide,1
9,Vacasa,16192.061%,$26263454,Travel & Hospitality,Oregon,"Portland, OR",264,http://www.inc.com/profile/vacasa,1
10,Go Energies,16006.8013%,$32851754,Energy,North Carolina,"Wilmington, NC",11,http://www.inc.com/profile/go-energies,1
11,Minute Key,14588.3448%,$15782039,Consumer Products & Services,Colorado,"Boulder, CO",113,http://www.inc.com/profile/minute-key,1
12,SainStore,14086.513%,$19243863,Business Products & Services,Kansas,"Kansas City, MO-KS",135,http://www.inc.com/profile/sainstore,1
13,The HCI Group,13230.9467%,$34583142,Health,Florida,"Jacksonville, FL",153,http://www.inc.com/profile/the-hci-group,2
14,Dynamic Dental Partners Group,12895.5867%,$19802935,Health,Florida,"Sarasota-Bradenton-Venice, FL",313,http://www.inc.com/profile/dynamic-dental-partners-group,1
15,Aseptia,12427.4225%,$13887650,Food & Beverage,North Carolina,"Raleigh-Cary, NC",159,http://www.inc.com/profile/aseptia,1
16,Asentra Health,12127.9133%,$20445071,Health,Hawaii,"Honolulu, HI",34,http://www.inc.com/profile/asentra-health,1
17,American Solar Direct,11560.3538%,$52086567,Energy,California,Los Angeles,436,http://www.inc.com/profile/american-solar-direct,1
18,Prescient Edge,11497.7718%,$12315210,Government Services,Virginia,"Washington, DC",42,http://www.inc.com/profile/prescient-edge,1
19,BlueSquare Resolutions,11488.6004%,$46400872,Financial Services,Arizona,Phoenix,27,http://www.inc.com/profile/bluesquare-resolutions,2
20,BES Design/Build,11374.9136%,$11819161,Construction,Alabama,"Daphne-Fairhope-Foley, AL",44,http://www.inc.com/profile/bes-designbuild,1
21,Simpler Trading,10522.6415%,$11260000,Financial Services,Texas,Austin,12,http://www.inc.com/profile/simpler-trading,1
22,sweetFrog Premium Frozen Yogurt,10371.7994%,$34382478,Food & Beverage,Virginia,"Richmond, VA",790,http://www.inc.com/profile/sweetfrog-premium-frozen-yogurt,1
23,Base Commerce,10186.259%,$12479598,Financial Services,Arizona,Phoenix,17,http://www.inc.com/profile/base-commerce,1
24,CPSG Partners,9531.6371%,$17095000,IT Services,Texas,Dallas,102,http://www.inc.com/profile/cpsg-partners,1
25,MedHOK,9109.1892%,$17037000,Health,Florida,Tampa,102,http://www.inc.com/profile/medhok,1
