Rank,Company,Growth,Revenue,Industry,State,Metro,Employees,URL,YrsOnList
1,ideeli,40882.1804%,$77665330,Retail,New York,New York City,145,http://www.inc.com/profile/ideeli,1
2,Solazyme,20424.3243%,$37970000,Manufacturing,California,San Francisco,104,http://www.inc.com/profile/solazyme,1
3,C2C Outdoor,17744.2466%,$20862244,Advertising & Marketing,New York,New York City,7,http://www.inc.com/profile/c2c-outdoor,1
4,Big Night Entertainment Group,16093.4417%,$17084081,Travel & Hospitality,Massachusetts,Boston,243,http://www.inc.com/profile/big-night-entertainment-group,1
5,Crystal Clear Technologies,16048.0459%,$16383000,Government Services,Florida,Tampa,12,http://www.inc.com/profile/crystal-clear-technologies,2
6,Show Media,11748.5408%,$14218249,Advertising & Marketing,New York,New York City,36,http://www.inc.com/profile/show-media,3
7,Contour,11662.7403%,$15131001,Consumer Products & Services,Washington,Seattle,41,http://www.inc.com/profile/contour,2
8,Gold & Silver Buyers,11430.3267%,$15227526,Consumer Products & Services,Texas,Houston,81,http://www.inc.com/profile/gold-silver-buyers,1
9,One Source Networks,10305.4815%,$14901482,Telecommunications,Texas,Austin,22,http://www.inc.com/profile/one-source-networks,1
10,Connected Logistics,10112.2562%,$12356830,Government Services,Alabama,"Huntsville, AL",60,http://www.inc.com/profile/connected-logistics,1
11,PaymentMax,10057.7867%,$10789601,Financial Services,California,"Oxnard-Thousand Oaks-Ventura, CA",9,http://www.inc.com/profile/paymentmax,2
12,Century Payments,9257.9167%,$22459000,Financial Services,Texas,Dallas,364,http://www.inc.com/profile/century-payments,2
13,Astro Gaming,9178.6408%,$9557000,Consumer Products & Services,California,San Francisco,25,http://www.inc.com/profile/astro-gaming,1
14,Advantis Global Services,8972.1582%,$24126044,IT Services,California,San Francisco,386,http://www.inc.com/profile/advantis-global-services,1
15,Greenspring Energy,8730.0176%,$10507721,Energy,Maryland,Baltimore,40,http://www.inc.com/profile/greenspring-energy,1
16,Vertiglo,8648.2793%,$12710550,Software,Florida,"Orlando, FL",56,http://www.inc.com/profile/vertiglo,1
17,ClearCorrect,8625.03%,$8725030,Health,Texas,Houston,128,http://www.inc.com/profile/clearcorrect,1
18,Entrust Bankcard,8416.8872%,$9367128,Financial Services,Arizona,Phoenix,158,http://www.inc.com/profile/entrust-bankcard,1
19,Armando Montelongo Companies,8160.6113%,$47113405,Education,Texas,"San Antonio, TX",125,http://www.inc.com/profile/armando-montelongo-companies,1
20,BrokersWeb.com,8127.4664%,$15721701,Insurance,Florida,Miami,29,http://www.inc.com/profile/brokerswebcom,1
21,Charfen Institute,8006.9617%,$9927380,Education,Texas,Austin,60,http://www.inc.com/profile/charfen-institute,1
22,Valuation Management Group,7909.7539%,$25424000,Real Estate,Georgia,Atlanta,50,http://www.inc.com/profile/valuation-management-group,1
23,Trillacorpe Construction,7736.7749%,$29202331,Government Services,Michigan,Detroit,14,http://www.inc.com/profile/trillacorpe-construction,1
24,re2g,7493.438%,$10618284,Energy,Pennsylvania,Philadelphia,23,http://www.inc.com/profile/re2g,1
25,SingleHop,7304.7059%,$12588000,IT Services,Illinois,Chicago,43,http://www.inc.com/profile/singlehop,2
26,I.T. Source,6665.8823%,$8749233,IT Services,California,Los Angeles,16,http://www.inc.com/profile/it-source,2
27,Integrated Medical Solutions,6610.8689%,$14850549,Government Services,Texas,Dallas,18,http://www.inc.com/profile/integrated-medical-solutions,3
28,AdVentures,6533.8607%,$6846874,Financial Services,Missouri,"Columbia, MO",62,http://www.inc.com/profile/adventures,1
29,PruGen Pharmaceuticals,6412.221%,$7427709,Health,Arizona,Phoenix,5,http://www.inc.com/profile/prugen-pharmaceuticals,1
30,Phone Power,6337.0972%,$7790175,Telecommunications,California,Los Angeles,55,http://www.inc.com/profile/phone-power,1
31,WBPromotions,6199.4264%,$6929369,Business Products & Services,Texas,Houston,43,http://www.inc.com/profile/wbpromotions,1
32,Electronic Cash Systems,6132.7131%,$148748185,Financial Services,California,Los Angeles,38,http://www.inc.com/profile/electronic-cash-systems,5
33,HubSpot,6015.2941%,$15594000,Software,Massachusetts,Boston,179,http://www.inc.com/profile/hubspot,1
34,Square Peg Packaging & Printing,5985.9158%,$7426643,Business Products & Services,California,San Diego,8,http://www.inc.com/profile/square-peg-packaging-printing,1
35,Gazelle,5753.4324%,$21320308,Consumer Products & Services,Massachusetts,Boston,132,http://www.inc.com/profile/gazelle,2
36,A. Harold and Associates,5508.6641%,$10860561,Government Services,Florida,"Jacksonville, FL",67,http://www.inc.com/profile/a-harold-and-associates,2
37,Shipito.com,5253.7072%,$8046033,Logistics & Transportation,California,Los Angeles,60,http://www.inc.com/profile/shipitocom,2
38,SunDurance Energy,5126.1542%,$45291107,Energy,New Jersey,New York City,33,http://www.inc.com/profile/sundurance-energy,1
39,Agiliance,4909.0675%,$6311425,Software,California,San Jose,57,http://www.inc.com/profile/agiliance,1
40,CPAlead,4643.9189%,$35105000,Advertising & Marketing,Nevada,"Las Vegas-Paradise, NV",22,http://www.inc.com/profile/cpalead,1
41,GoLive! Mobile,4526.4013%,$36253776,Media,California,Los Angeles,102,http://www.inc.com/profile/golive-mobile,1
42,OnForce Solar,4492.5158%,$9200187,Energy,New York,New York City,18,http://www.inc.com/profile/onforce-solar,2
43,Prodege,4460.8939%,$12293707,Advertising & Marketing,California,Los Angeles,25,http://www.inc.com/profile/prodege,1
