Rank,Company,Growth,Revenue,Industry,State,Metro,Employees,URL,YrsOnList
1,Northern Capital Insurance,19812.1781%,$94960779,Insurance,Florida,"San Antonio, TX",79,http://www.inc.com/profile/northern-capital-insurance,1
2,National Retirement Partners,13416.3604%,$47442425,Financial Services,California,Los Angeles,165,http://www.inc.com/profile/national-retirement-partners,2
3,Harley Stanfield,13350.3545%,$38415961,Real Estate,District of Columbia,"Washington, DC",22,http://www.inc.com/profile/harley-stanfield,2
5,IntegraClick,12654.3768%,$96365311,Advertising & Marketing,Florida,"Bradenton-Sarasota-Venice, FL",55,http://www.inc.com/profile/integraclick,1
6,Kiva Systems,10398.9936%,$21417947,Logistics & Transportation,Massachusetts,Boston,120,http://www.inc.com/profile/kiva-systems,1
7,Freedom Health,10035.2595%,$182762142,Insurance,Florida,Tampa,231,http://www.inc.com/profile/freedom-health,1
8,One Technologies,9946.3779%,$50734108,Consumer Products & Services,Texas,Dallas,89,http://www.inc.com/profile/one-technologies,3
9,MediaTrust,9481.1269%,$38264338,Advertising & Marketing,New York,New York City,60,http://www.inc.com/profile/mediatrust,1
10,Criterion Systems,8433.6476%,$20293526,Government Services,Virginia,"Washington, DC",110,http://www.inc.com/profile/criterion-systems,1
11,ProKarma,8311.4077%,$47280775,IT Services,Nebraska,"Omaha-Council Bluffs, NE-IA",662,http://www.inc.com/profile/prokarma,1
12,Canopy Financial,7929.1249%,$19790187,Software,California,San Francisco,84,http://www.inc.com/profile/canopy-financial,1
13,MedVantx,7898.5184%,$36618497,Health,California,San Diego,118,http://www.inc.com/profile/medvantx,1
14,Skullcandy,6251.5677%,$85493689,Consumer Products & Services,Utah,Salt Lake City,56,http://www.inc.com/profile/skullcandy,2
15,Centuria,5968.8436%,$21000323,IT Services,Virginia,"Washington, DC",106,http://www.inc.com/profile/centuria,2
16,Snap Fitness,5906.8409%,$31716000,Health,Minnesota,Minneapolis,37,http://www.inc.com/profile/snap-fitness,1
17,P3S,5898.4546%,$13542291,Government Services,Texas,"San Antonio, TX",221,http://www.inc.com/profile/p3s,1
18,MonaVie,5882.9626%,$854936097,Food & Beverage,Utah,Salt Lake City,450,http://www.inc.com/profile/monavie,1
19,ITA International,5778.916%,$11956892,Government Services,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",86,http://www.inc.com/profile/ita-international,1
20,Working Media Group,4782.4058%,$12306592,Advertising & Marketing,New York,New York City,14,http://www.inc.com/profile/working-media-group,1
21,Blue Entertainment Sports Television,4685.3421%,$22897910,Media,Kentucky,Louisville-Jefferson County,80,http://www.inc.com/profile/blue-entertainment-sports-television,1
22,vAuto,4659.879%,$15583844,Software,Illinois,Chicago,61,http://www.inc.com/profile/vauto,1
23,BancVue,4645.5341%,$21871360,Financial Services,Texas,Austin,164,http://www.inc.com/profile/bancvue,1
24,InsuranceAgents.com,4582.186%,$11799015,Insurance,Ohio,"Columbus, OH",35,http://www.inc.com/profile/insuranceagentscom,1
25,Ahura Scientific,4564.8246%,$46191000,Security,Massachusetts,Boston,148,http://www.inc.com/profile/ahura-scientific,2
26,Ruckus Wireless,4540.0564%,$32898000,Telecommunications,California,San Jose,143,http://www.inc.com/profile/ruckus-wireless,1
27,SDV Solutions,4345.6109%,$11113894,Government Services,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",32,http://www.inc.com/profile/sdv-solutions,1
28,SFP,4321.3262%,$33376017,Manufacturing,Kansas,"Kansas City, MO-KS",24,http://www.inc.com/profile/sfp,2
29,iCore Networks,3923.9825%,$17025510,Telecommunications,Virginia,"Washington, DC",60,http://www.inc.com/profile/icore-networks,1
30,StarTex Power,3794.298%,$187495964,Energy,Texas,Houston,64,http://www.inc.com/profile/startex-power,1
31,FedStore,3748.7617%,$28596954,Government Services,Maryland,"Washington, DC",15,http://www.inc.com/profile/fedstore,1
32,ID Experts,3632.9087%,$8198438,Security,Oregon,"Portland, OR",33,http://www.inc.com/profile/id-experts,1
33,ARK Solutions,3537.3811%,$8622230,IT Services,Virginia,"Washington, DC",19,http://www.inc.com/profile/ark-solutions,1
34,Revel Consulting,3531.1882%,$13184009,Business Products & Services,Washington,Seattle,37,http://www.inc.com/profile/revel-consulting,2
35,Quidsi,3473.8295%,$89361034,Retail,New Jersey,New York City,89,http://www.inc.com/profile/quidsi,1
36,ICS,3431.0189%,$7366447,Government Services,Virginia,"Washington, DC",100,http://www.inc.com/profile/ics,1
37,GourmetGiftBaskets.com,3260.4743%,$8502000,Food & Beverage,New Hampshire,Boston,41,http://www.inc.com/profile/gourmetgiftbasketscom,1
38,Oil Chem Technologies,3251.6911%,$10403515,Energy,Texas,Houston,5,http://www.inc.com/profile/oil-chem-technologies,3
39,ReachLocal,3217.2054%,$146819509,Advertising & Marketing,California,Los Angeles,707,http://www.inc.com/profile/reachlocal,1
40,mSpot,3189.3665%,$14539000,Consumer Products & Services,California,San Jose,57,http://www.inc.com/profile/mspot,1
41,Xtreme Consulting Group,3092.4794%,$21503328,IT Services,Washington,Seattle,185,http://www.inc.com/profile/xtreme-consulting-group,1
42,Nutricap Labs,2899.6667%,$16269892,Health,New York,New York City,40,http://www.inc.com/profile/nutricap-labs,1
43,FTEN,2863.7433%,$12072008,Software,New York,New York City,55,http://www.inc.com/profile/ften,1
44,Enalasys,2813.7095%,$25929538,Energy,California,"El Centro, CA",42,http://www.inc.com/profile/enalasys,1
45,HMS Technologies,2750.8157%,$22553516,Government Services,West Virginia,"Hagerstown-Martinsburg, MD-WV",49,http://www.inc.com/profile/hms-technologies,1
46,Royal Buying Group,2748.4321%,$167361194,Advertising & Marketing,Illinois,Chicago,42,http://www.inc.com/profile/royal-buying-group,4
47,Service Financial,2706.2147%,$19868000,Financial Services,Wisconsin,"Milwaukee-Waukesha-West Allis, WI",3,http://www.inc.com/profile/service-financial,3
48,Aqua Superstore,2694.6002%,$7467619,Retail,Florida,"Punta Gorda, FL",35,http://www.inc.com/profile/aqua-superstore,1
49,Echo Global Logistics,2666.9909%,$202589000,Logistics & Transportation,Illinois,Chicago,593,http://www.inc.com/profile/echo-global-logistics,1
50,Bridgepoint Education,2645.4408%,$218290000,Education,California,San Diego,2971,http://www.inc.com/profile/bridgepoint-education,3
51,Direct Exteriors,2559.3884%,$5410632,Construction,Minnesota,Minneapolis,20,http://www.inc.com/profile/direct-exteriors,1
52,Mission Essential Personnel,2537.8698%,$178320000,Government Services,Ohio,"Columbus, OH",1412,http://www.inc.com/profile/mission-essential-personnel,1
53,Clear Harbor,2469.6178%,$9658037,Telecommunications,Georgia,Atlanta,556,http://www.inc.com/profile/clear-harbor,1
54,Broadnet Teleservices,2358.4281%,$7751940,Software,Colorado,Denver,22,http://www.inc.com/profile/broadnet-teleservices,1
55,EffectiveUI,2333.9328%,$13774356,Software,Colorado,Denver,91,http://www.inc.com/profile/effectiveui,1
56,Namaste Solar Electric,2243.064%,$14533487,Energy,Colorado,"Boulder, CO",52,http://www.inc.com/profile/namaste-solar-electric,1
57,ReSource Pro,2239.5291%,$6922269,Insurance,New York,New York City,419,http://www.inc.com/profile/resource-pro,1
58,Allegiance,2235.7372%,$5940644,Software,Utah,Salt Lake City,86,http://www.inc.com/profile/allegiance,1
59,Hardwire,2235.0533%,$124017107,Government Services,Maryland,"Ocean Pines, MD",48,http://www.inc.com/profile/hardwire,2
60,Clarisonic,2197.0903%,$40057878,Consumer Products & Services,Washington,Seattle,135,http://www.inc.com/profile/clarisonic,1
61,International Checkout,2191.2287%,$7226100,Logistics & Transportation,California,Los Angeles,19,http://www.inc.com/profile/international-checkout,1
62,DeviceAnywhere,2103.8312%,$14645450,Telecommunications,California,San Francisco,160,http://www.inc.com/profile/deviceanywhere,1
63,Sirsai,2076.8587%,$8320215,Business Products & Services,Washington,Seattle,174,http://www.inc.com/profile/sirsai,1
64,Workway,2058.0455%,$75866393,Human Resources,California,Los Angeles,85,http://www.inc.com/profile/workway,1
65,LifeMatters,2051.0632%,$4765702,Health,Maryland,"Washington, DC",150,http://www.inc.com/profile/lifematters,1
66,StoreBoard Media,2025.6785%,$4665673,Advertising & Marketing,New York,New York City,9,http://www.inc.com/profile/storeboard-media,1
67,iSeatz,1983.5829%,$27791475,Travel & Hospitality,Louisiana,"New Orleans-Metairie-Kenner, LA",20,http://www.inc.com/profile/iseatz,2
68,1 Source Consulting,1971.4286%,$196330000,IT Services,District of Columbia,"Washington, DC",346,http://www.inc.com/profile/1-source-consulting,4
69,Radiation Technical Services,1957.1686%,$9521934,Environmental Services,Louisiana,"New Orleans-Metairie-Kenner, LA",45,http://www.inc.com/profile/radiation-technical-services,1
70,ELECTRONIC PAYMENTS,1953.4888%,$17574517,Financial Services,New York,New York City,25,http://www.inc.com/profile/electronic-payments,2
71,SmartPrice Sales,1951.7729%,$7814813,Food & Beverage,Illinois,Chicago,5,http://www.inc.com/profile/smartprice-sales,1
72,SolutionSet,1931.8194%,$17814078,IT Services,California,San Jose,101,http://www.inc.com/profile/solutionset,3
73,Adlucent,1908.3591%,$6487000,Advertising & Marketing,Texas,Austin,20,http://www.inc.com/profile/adlucent,2
74,US Media Consulting,1898.673%,$10500808,Advertising & Marketing,Florida,Miami,20,http://www.inc.com/profile/us-media-consulting,1
75,Simply Canvas,1896.4344%,$4352227,Business Products & Services,Ohio,"Akron, OH",55,http://www.inc.com/profile/simply-canvas,1
