Rank,Company,Growth,Revenue,Industry,State,Metro,Employees,URL,YrsOnList
1,Fuhu,42148.0287%,$117872000,Consumer Products & Services,California,Los Angeles,143,http://www.inc.com/profile/fuhu,1
2,FederalConference.com,24830.5869%,$49625829,Government Services,Virginia,"Washington, DC",51,http://www.inc.com/profile/federalconferencecom,2
3,The HCI Group,24544.7799%,$25501186,Health,Florida,"Jacksonville, FL",113,http://www.inc.com/profile/the-hci-group,1
4,Bridger,23308.1822%,$1919062000,Energy,Texas,Dallas,50,http://www.inc.com/profile/bridger,1
5,DataXu,21337.4384%,$87036000,Advertising & Marketing,Massachusetts,Boston,220,http://www.inc.com/profile/dataxu,1
6,Milestone Community Builders,17937.7485%,$45683484,Real Estate,Texas,Austin,63,http://www.inc.com/profile/milestone-community-builders,1
7,Value Payment Systems,17404.1348%,$25489171,Financial Services,Tennessee,CBSA Metro Region,27,http://www.inc.com/profile/value-payment-systems,1
8,Emerge Digital Group,17064.0715%,$23858231,Advertising & Marketing,California,San Francisco,75,http://www.inc.com/profile/emerge-digital-group,1
9,Goal Zero,16980.5405%,$33104308,Consumer Products & Services,Utah,Salt Lake City,97,http://www.inc.com/profile/goal-zero,1
10,Yagoozon,16689.2387%,$18636055,Retail,Rhode Island,"Providence-New Bedford-Fall River, RI-MA",15,http://www.inc.com/profile/yagoozon,2
11,OBXtek,16433.2059%,$29616593,Government Services,Virginia,"Washington, DC",149,http://www.inc.com/profile/obxtek,2
12,AdRoll,15064.8889%,$34121000,Advertising & Marketing,California,San Francisco,200,http://www.inc.com/profile/adroll,2
13,uBreakiFix,14102.1042%,$17042525,Retail,Florida,"Orlando, FL",180,http://www.inc.com/profile/ubreakifix,1
14,SPARC,12862.5195%,$21138888,Software,South Carolina,"Charleston-North Charleston, SC",160,http://www.inc.com/profile/sparc,1
15,LivingSocial,12333.1688%,$536000000,Consumer Products & Services,District of Columbia,"Washington, DC",4100,http://www.inc.com/profile/livingsocial,1
16,Amped Wireless,11067.9688%,$14295000,Computer Hardware,California,"Riverside-San Bernardino-Ontario, CA",26,http://www.inc.com/profile/amped-wireless,1
17,Intelligent Audit,10572.9883%,$144994894,Logistics & Transportation,New Jersey,,15,http://www.inc.com/profile/intelligent-audit,1
18,Integrity Funding,10462.1421%,$11076624,Financial Services,Florida,"Sarasota-Bradenton-Venice, FL",11,http://www.inc.com/profile/integrity-funding,2
19,Vertex Body Sciences,10010.3562%,$11775633,Food & Beverage,Ohio,"Columbus, OH",51,http://www.inc.com/profile/vertex-body-sciences,1
20,BlueKai,9245.497%,$26799334,Advertising & Marketing,California,San Jose,107,http://www.inc.com/profile/bluekai,1
21,Level 11,9043.9079%,$9628535,IT Services,Washington,Seattle,30,http://www.inc.com/profile/level-11,1
22,Patient Conversation Media,8782.4045%,$9770645,Health,Texas,Austin,59,http://www.inc.com/profile/patient-conversation-media,2
23,Wingspan Portfolio Advisors,8768.7788%,$76981000,Financial Services,Texas,Dallas,1704,http://www.inc.com/profile/wingspan-portfolio-advisors,1
24,Vets First Choice,8585.303%,$14629177,Health,Maine,"Portland-South Portland-Biddeford, ME",74,http://www.inc.com/profile/vets-first-choice,2
25,Timberhorn,8516.205%,$13785928,IT Services,Texas,Dallas,175,http://www.inc.com/profile/timberhorn,1
26,BeenVerified,8442.6497%,$13740852,Consumer Products & Services,New York,New York City,17,http://www.inc.com/profile/beenverified,1
27,Trada,8100.9053%,$12555504,Advertising & Marketing,Colorado,"Boulder, CO",75,http://www.inc.com/profile/trada,1
28,Kony,7786.2497%,$51118355,Software,Florida,"Orlando, FL",1100,http://www.inc.com/profile/kony,1
29,OneSource Virtual,7353.3333%,$23478000,Business Products & Services,Texas,Dallas,260,http://www.inc.com/profile/onesource-virtual,1
30,Sailthru,7322.1789%,$8066424,Advertising & Marketing,New York,New York City,79,http://www.inc.com/profile/sailthru,1
31,Innovolt,7247.6942%,$8039700,Business Products & Services,Georgia,Atlanta,30,http://www.inc.com/profile/innovolt,1
32,Provider Power,7224.3962%,$56774032,Energy,Maine,"Lewiston-Auburn, ME",50,http://www.inc.com/profile/provider-power,1
33,Zurple,7112.4887%,$7656778,Software,California,San Diego,32,http://www.inc.com/profile/zurple,1
34,US Logistics,7087.2286%,$48309029,Logistics & Transportation,Ohio,Cincinnati,10,http://www.inc.com/profile/us-logistics,1
35,McAfee Institute,7062.6243%,$15041511,Education,Illinois,"Peoria, IL",15,http://www.inc.com/profile/mcafee-institute,1
36,Now Communications,6763.9414%,$7033618,Consumer Products & Services,Arizona,Phoenix,110,http://www.inc.com/profile/now-communications,1
37,YellowHammer,6739.9472%,$17967652,Advertising & Marketing,New York,New York City,27,http://www.inc.com/profile/yellowhammer,1
38,Conductor,6701.6024%,$7139438,Advertising & Marketing,New York,New York City,89,http://www.inc.com/profile/conductor,2
39,Intellect Resources,6553.6713%,$30003666,Health,North Carolina,"Greensboro-High Point, NC",675,http://www.inc.com/profile/intellect-resources,2
40,Phunware,6526.8035%,$8177343,Software,Texas,Austin,92,http://www.inc.com/profile/phunware,1
41,NSR Solutions,6392.3786%,$10093766,Government Services,Maryland,"Washington, DC",252,http://www.inc.com/profile/nsr-solutions,1
42,Pangea Properties,6218.4674%,$28255049,Real Estate,Illinois,Chicago,348,http://www.inc.com/profile/pangea-properties,1
43,Field Nation,6031.1814%,$27692278,Business Products & Services,Minnesota,Minneapolis,15,http://www.inc.com/profile/field-nation,1
44,The Joint,5961.6409%,$7358832,Health,Arizona,Phoenix,14,http://www.inc.com/profile/the-joint,2
45,Silver Spring Networks,5867.152%,$196737000,Energy,California,San Francisco,566,http://www.inc.com/profile/silver-spring-networks,1
46,ThinkLite,5524.8708%,$8498786,Energy,Massachusetts,Boston,14,http://www.inc.com/profile/thinklite,1
47,29 Prime,5443.3109%,$13840594,Advertising & Marketing,California,Los Angeles,300,http://www.inc.com/profile/29-prime,2
48,Cinium Financial Services,5364.8148%,$5902000,Financial Services,Florida,Miami,32,http://www.inc.com/profile/cinium-financial-services,2
49,Solar Alliance of America,5337.4214%,$17291000,Energy,California,San Diego,4,http://www.inc.com/profile/solar-alliance-of-america,2
50,Saratoga Roofing & Construction,5328.2949%,$29255307,Construction,Oklahoma,"Oklahoma City, OK",106,http://www.inc.com/profile/saratoga-roofing-construction,2
51,Madwire,5254.2559%,$6901850,Advertising & Marketing,Colorado,"Fort Collins-Loveland, CO",127,http://www.inc.com/profile/madwire,1
52,Eventus Solutions Group,5220.8258%,$6398293,Business Products & Services,Colorado,Denver,22,http://www.inc.com/profile/eventus-solutions-group,1
53,LabTech Software,5208.2342%,$23092783,Software,Florida,Tampa,152,http://www.inc.com/profile/labtech-software,1
54,Altitude Digital,5162.0134%,$11418569,Advertising & Marketing,Colorado,"Denver-Aurora, CO",21,http://www.inc.com/profile/altitude-digital,2
55,DSFederal,5151.4665%,$9393088,Government Services,Maryland,"Washington, DC",70,http://www.inc.com/profile/dsfederal,1
56,Pinnacle Strategies,5134.0298%,$6976229,Business Products & Services,Texas,Dallas,17,http://www.inc.com/profile/pinnacle-strategies,1
57,Lead5 Media,5015.8273%,$35566766,Advertising & Marketing,California,San Francisco,33,http://www.inc.com/profile/lead5-media,1
58,eGumball,5014.5387%,$9639320,Advertising & Marketing,California,Los Angeles,125,http://www.inc.com/profile/egumball,4
59,Doc Popcorn,5010.5657%,$7154792,Retail,Colorado,"Boulder, CO",18,http://www.inc.com/profile/doc-popcorn,1
60,Red Frog Events,4956.6462%,$49454000,Consumer Products & Services,Illinois,Chicago,95,http://www.inc.com/profile/red-frog-events,2
61,MHD Enterprises,4942.0804%,$7210175,Business Products & Services,Texas,Austin,27,http://www.inc.com/profile/mhd-enterprises,2
62,Wilson Legal Solutions,4839.0984%,$5537075,IT Services,Pennsylvania,Philadelphia,30,http://www.inc.com/profile/wilson-legal-solutions,1
63,TUNE,4836.7855%,$7341000,Advertising & Marketing,Washington,Seattle,57,http://www.inc.com/profile/tune,1
64,GSC Packaging,4812.7279%,$112568577,Manufacturing,Georgia,Atlanta,300,http://www.inc.com/profile/gsc-packaging,1
65,ethosIQ,4768.3719%,$6913867,Business Products & Services,Texas,Houston,118,http://www.inc.com/profile/ethosiq,1
66,Celebrity Auto Group,4744.7563%,$16229207,Consumer Products & Services,Florida,"Sarasota-Bradenton-Venice, FL",6,http://www.inc.com/profile/celebrity-auto-group,1
67,Crescendo Bioscience,4739.7558%,$5453824,Health,California,San Francisco,103,http://www.inc.com/profile/crescendo-bioscience,1
68,ReTargeter,4738.5017%,$6466851,Advertising & Marketing,California,San Francisco,35,http://www.inc.com/profile/retargeter,1
69,C-4 Analytics,4645.8161%,$4894550,Advertising & Marketing,Massachusetts,Boston,46,http://www.inc.com/profile/c-4-analytics,1
70,33Across,4499.0115%,$27916000,Advertising & Marketing,New York,New York City,75,http://www.inc.com/profile/33across,1
71,LiveIntent,4485.1434%,$6932370,Advertising & Marketing,New York,New York City,42,http://www.inc.com/profile/liveintent,1
72,Rocket Fuel,4451.1956%,$106589000,Advertising & Marketing,California,San Francisco,289,http://www.inc.com/profile/rocket-fuel,1
73,iSend,4441.2856%,$105785296,Financial Services,Connecticut,"New Haven-Milford, CT",15,http://www.inc.com/profile/isend,1
74,BidPal,4322.7875%,$10245166,Business Products & Services,Indiana,"Indianapolis, IN",88,http://www.inc.com/profile/bidpal,1
75,Equinox Business Solutions,4235.2668%,$82583494,Business Products & Services,Utah,Salt Lake City,140,http://www.inc.com/profile/equinox-business-solutions,1
76,Dito,4200.3597%,$4530515,IT Services,Virginia,"Washington, DC",30,http://www.inc.com/profile/dito,1
77,Bio Soil Enhancers,4086.906%,$4873433,Manufacturing,Mississippi,,19,http://www.inc.com/profile/bio-soil-enhancers,1
78,Janes Capital Partners,4053.8889%,$7477000,Financial Services,California,Los Angeles,10,http://www.inc.com/profile/janes-capital-partners,1
79,Restore Health,4039.0195%,$4897412,Health,Wisconsin,"Madison, WI",45,http://www.inc.com/profile/restore-health,1
80,Matt Martin Real Estate Management,3981.9025%,$31711362,Real Estate,Texas,Dallas,114,http://www.inc.com/profile/matt-martin-real-estate-management,2
81,Celerity Ventures,3959.9899%,$15846100,Real Estate,Virginia,"Washington, DC",7,http://www.inc.com/profile/celerity-ventures,1
82,ASE Direct,3924.1538%,$26157000,Government Services,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",17,http://www.inc.com/profile/ase-direct,3
83,Evolving Wisdom,3923.6292%,$6732618,Education,California,San Francisco,29,http://www.inc.com/profile/evolving-wisdom,1
84,Next Step Living,3890.1084%,$29447000,Energy,Massachusetts,Boston,502,http://www.inc.com/profile/next-step-living,1
85,Vital Farms,3877.5966%,$9674549,Food & Beverage,Texas,Austin,30,http://www.inc.com/profile/vital-farms,2
86,C-DM Network,3854.9787%,$5475668,Construction,Texas,Dallas,19,http://www.inc.com/profile/c-dm-network,2
87,SalesStaff,3833.0097%,$4051000,Business Products & Services,Texas,Houston,60,http://www.inc.com/profile/salesstaff,1
88,WellDog,3758.0868%,$8039867,Energy,Wyoming,"Laramie, WY",42,http://www.inc.com/profile/welldog,1
