Rank,Company,Growth,Revenue,Industry,State,Metro,Employees,URL,YrsOnList
1,Ambit Energy,20369.4247%,$324968084,Energy,Texas,Dallas,171,http://www.inc.com/profile/ambit-energy,1
3,Luke & Associates,16636.5483%,$37457232,Government Services,Florida,"Palm Bay-Melbourne-Titusville, FL",588,http://www.inc.com/profile/luke-associates,1
4,Lexicon Consulting,14017.7354%,$14392043,Government Services,California,San Diego,50,http://www.inc.com/profile/lexicon-consulting,1
5,WDFA Marketing,13969.4575%,$17861317,Advertising & Marketing,California,San Francisco,46,http://www.inc.com/profile/wdfa-marketing,1
6,Coyote Logistics,13846.7895%,$249787000,Logistics & Transportation,Illinois,Chicago,351,http://www.inc.com/profile/coyote-logistics,3
7,Debt Free Associates,12376.1905%,$26200000,Financial Services,Oklahoma,"Oklahoma City, OK",46,http://www.inc.com/profile/debt-free-associates,1
8,LifeLock,11474.2731%,$131368000,Security,Arizona,Phoenix,482,http://www.inc.com/profile/lifelock,1
9,Carbonite,11207.602%,$19113805,IT Services,Massachusetts,Boston,100,http://www.inc.com/profile/carbonite,1
10,KPaul,10925.568%,$11239023,Government Services,Indiana,"Indianapolis, IN",60,http://www.inc.com/profile/kpaul,1
11,Century Payments,10471.033%,$15652000,Financial Services,Texas,Dallas,200,http://www.inc.com/profile/century-payments,1
12,TheFind,9969.8908%,$15333020,Retail,California,San Jose,34,http://www.inc.com/profile/thefind,1
13,The Penna Group,9524.6592%,$15518223,Government Services,Texas,Dallas,250,http://www.inc.com/profile/the-penna-group,1
14,Digital Advertising,9389.916%,$11293000,Advertising & Marketing,New Jersey,New York City,7,http://www.inc.com/profile/digital-advertising,1
15,Physicians' Pharmaceutical,9307.2359%,$8650706,Health,Tennessee,"Knoxville, TN",10,http://www.inc.com/profile/physicians-pharmaceutical,1
16,Ciphent,8907.0307%,$9341822,Security,Maryland,Baltimore,57,http://www.inc.com/profile/ciphent,1
17,MaxLinear,8784.083%,$51350000,Computer Hardware,California,San Diego,146,http://www.inc.com/profile/maxlinear,1
18,Foreground Security,8290.6309%,$10634789,Security,Florida,"Orlando, FL",9,http://www.inc.com/profile/foreground-security,2
19,Scentsy,8094.1017%,$178375434,Consumer Products & Services,Idaho,"Boise City-Nampa, ID",424,http://www.inc.com/profile/scentsy,1
20,Pyramed Health Services,8090.722%,$8337254,Health,Texas,"San Antonio, TX",198,http://www.inc.com/profile/pyramed-health-services,1
21,NetWitness,7745.8167%,$19693000,Security,Virginia,"Washington, DC",69,http://www.inc.com/profile/netwitness,1
22,Ayuda Management,7443.7593%,$20665148,Government Services,Colorado,Denver,45,http://www.inc.com/profile/ayuda-management,1
23,Lead Research Group,7194.8625%,$7678937,Advertising & Marketing,California,Los Angeles,17,http://www.inc.com/profile/lead-research-group,2
23,Octo Consulting Group,7224.2639%,$13691100,Government Services,Virginia,"Washington, DC",81,http://www.inc.com/profile/octo-consulting-group,1
23,MFS Supply,7310.5643%,$13320934,Security,Ohio,Cleveland,29,http://www.inc.com/profile/mfs-supply,1
24,Gazelle,7119.723%,$8261529,Consumer Products & Services,Massachusetts,Boston,94,http://www.inc.com/profile/gazelle,1
25,Vendormate,7108.052%,$10657249,Software,Georgia,Atlanta,58,http://www.inc.com/profile/vendormate,1
26,Pursuit of Excellence,7054.4147%,$10686120,Human Resources,Texas,Dallas,200,http://www.inc.com/profile/pursuit-of-excellence,1
